fruns,last_avail_year,brand_name,brand_name_sanitized,franchisor,franchisor_sanitized,naics_code,naics_description
10045,2003,A SHADE BETTER,a shade better,"A Shade Better, Inc.",a shade better,811490,Other Personal and Household Goods Repair and Maintenance
15087,2016,A Suite Salon,a suite salon,"A Suite Salon Franchise Co., LLC",a suite salon,812112,Beauty Salons
10047,2023,A&W,a w,"A&W Restaurants, Inc.",a w restaurants,722513,Limited-Service Restaurants
10038,2023,AAAC Wildlife Removal,aaac wildlife removal,"AAAC Support Services, LLC",aaac support services,561710,Exterminating and Pest Control Services
10054,2023,AAMCO,aamco,"AAMCO Transmissions, LLC",aamco transmissions,811113,Automotive Transmission Repair
10056,2022,Aaron's Sales & Lease Ownership,aarons sales lease ownership,"Aaron's, LLC",aarons,532299,All Other Consumer Goods Rental
10057,2009,AARROW ADVERTISING,aarrow advertising,"AArrow, Inc.",aarrow,541810,Advertising Agencies
18414,2022,AATB,aatb,"AATB Franchise, LLC",aatb,722410,Drinking Places (Alcoholic Beverages)
10058,2023,Abbey Carpet & Floor,abbey carpet floor,"Abbey Carpet Co., Inc.",abbey carpet,442210,Floor Covering Stores
18532,2022,Abbey Road Institute,abbey road institute,"Abbey Road Institute, LLC",abbey road institute,611610,Fine Arts Schools
10059,2023,Abbott's Frozen Custard,abbotts frozen custard,"Abbott's Frozen Custard, Inc.",abbotts frozen custard,722515,Snack and Nonalcoholic Beverage Bars
16175,2014,ABC Do-Re-ME!,abc do re me,"ABC Do-Re-ME! International, Inc.",abc do re me,453991,Tobacco Stores
17927,2019,ABC Imaging,abc imaging,"ABC Imaging Franchise, LLC",abc imaging,323111,Commercial Printing (except Screen and Books)
10060,2023,abc Seamless,abc seamless,"ABC, Inc.",abc inc,238170,Siding Contractors
10061,2010,ABEL'S CHOCOLATES,abels chocolates,"Abel's Chocolates, Inc.",abels chocolates,445292,Confectionery and Nut Stores
10062,1998,ABLE OIL,able oil,Able Oil Co.,able oil,812990,All Other Personal Services
19061,2023,ABOUTEA,aboutea,"ABOUTEA Co., LLC",aboutea,722515,Snack and Nonalcoholic Beverage Bars
17447,2020,Above the Crust,above the crust,"ATC Development, LLC",atc development,722513,Limited-Service Restaurants
10063,2016,Above Grade Level,above grade level,"Above Grade Level, LLC",above grade level,611691,Exam Preparation and Tutoring
15736,2015,Above the Standard Procurement Group,above the standard procurement,"ATSPG Franchising, Inc.",atspg,561499,All Other Business Support Services
10064,2023,Abra Auto Body & Glass,abra auto body glass,ABRA Franchisor SPV LLC,abra,424950,Paint
10065,2023,Abrakadoodle,abrakadoodle,"Abrakadoodle, Inc.",abrakadoodle,611610,Fine Arts Schools
10067,2009,ABSOLUTE BEST CARE,absolute best care,"Absolute Best Care Franchising, LLC",absolute best care,541612,Human Resources Consulting Services
16400,2016,Absolute Results,absolute results,Absolute Results Training Systems Inc.,absolute results training systems,541613,Marketing Consulting Services
17545,2018,Abyssinia,abyssinia,"Abyssinia Franchise, LLC",abyssinia,812112,Beauty Salons
15070,2023,AC Hotels by Marriott,ac hotels marriott,"Marriott International, Inc.",marriott,721110,Hotels (except Casino Hotels) and Motels
15641,2006,The Academy,academy,"Academy of Private Investigation and Loss Prevention, Inc.",academy private investigation loss prevention,611430,Professional and Management Development Training
15767,2017,The Academy for Salon Mastery,academy for salon mastery,"Salon Professional Education Company, LLC",salon professional education company,611511,Cosmetology and Barber Schools
16388,2019,Academy Leadership,academy leadership,"Academy Leadership Franchising, LLC",academy leadership,611430,Professional and Management Development Training
17216,2017,Acai Express,acai express,Acai Express Franchising Inc.,acai express,722513,Limited-Service Restaurants
18228,2022,Acai Republic The Brazilian Juice Bar,acai republic,"Açai Republic Franchise Development, LLC",acai republic franchise development,722513,Limited-Service Restaurants
18586,2022,Acapela Modern Mex,acapela modern mex,Acapela Modern Mex Franchising LLC,acapela modern mex,722513,Limited-Service Restaurants
17266,2023,ACASA Senior Care,acasa senior care,"ACASA Senior Care Franchising, Inc.",acasa senior care,621610,Home Health Care Services
10074,1993,ACC-U-TUNE & BRAKE,acc u tune brake,Acc-U-Tune,acc u tune,811191,Automotive Oil Change and Lubrication Shops
10070,1991,ACCENT HAIR SALON,accent hair salon,"Accent Hair Salons, Inc., The",accent hair salons,812111,Barber Shops
19246,2023,Access Garage Doors,access garage doors,"Open Doors, Inc.",open doors,238290,Other Building Equipment Contractors
10072,2011,ACCESSIBLE HOME HEALTH CARE,accessible home health care,"Valiant Healthcare, Inc.",valiant healthcare,621610,Home Health Care Services
10073,2008,ACCOUNTANTS INC.,accountants,Accountants Inc. Services,accountants inc services,541612,Human Resources Consulting Services
15290,2022,Accounting Practice Sales,accounting practice sales,"Accounting Practice Sales II, Inc.",accounting practice sales ii,561499,All Other Business Support Services
11909,2015,Accurity Valuation (fka IRR-Residential),accurity valuation,"Accurity Associates, LLC",accurity associates,531210,Offices of Real Estate Agents and Brokers
10075,2006,ACE CASH EXPRESS,ace cash express,"ACE Cash Express, Inc.",ace cash express,812990,All Other Personal Services
10076,2022,ACE DuraFlo,ace duraflo,"ACE DuraFlo Systems, LLC",ace duraflo systems,238220,Plumbing
11712,2023,Ace Handyman Services,ace handyman services,"Ace Handyman Franchising, Inc.",ace handyman,236118,Residential Remodelers
10077,2023,Ace Hardware,ace hardware,Ace Hardware Corporation,ace hardware,444130,Hardware Stores
18855,2023,Ace Hardware Painting Services,ace hardware painting services,"Ace Painting Franchising, LLC",ace painting,238320,Painting and Wall Covering Contractors
10078,2015,Ace it! Tutoring--now offered as part of Sylvan Learning,ace it tutoring,"Sylvan Learning, LLC",sylvan learning,611691,Exam Preparation and Tutoring
17853,2019,A.C.E. Janitorial,ace janitorial,"A.C.E. Janitorial Franchising, LLC",ace janitorial,561720,Janitorial Services
19031,2023,Ace Pickleball Club,ace pickleball club,"Ace Pickleball Club Franchise, LLC",ace pickleball club,711211,Sports Teams and Clubs
10080,2023,Ace Sushi,ace sushi,Ace Sushi Franchise Corporation,ace sushi,722513,Limited-Service Restaurants
10081,2023,ACFN,acfn,ACFN Franchised Inc.,acfn franchised,522320,Financial Transactions Processing
17003,2017,ACME Locksmith,acme locksmith,"ACME Locksmith Franchising, LLC",acme locksmith,561622,Locksmiths
18454,2021,ACT,act,ACT Franchising Corporation,act franchising,611710,Educational Support Services
10084,2023,ActiKare In-Home Care Service,actikare in home care service,"ActiKare, Inc.",actikare,621610,Home Health Care Services
16717,2016,Acting-A-Part,acting a part,"AAP Franchising, LLC",aap franchising,711110,Theater Companies and Dinner Theaters
17304,2022,Action Duct Cleaning Company,action duct cleaning,"Action Duct Cleaning Franchising, Inc.",action duct cleaning,238220,Plumbing
10086,2023,ActionCOACH,actioncoach,"ActionCOACH OneCo, LLC",actioncoach oneco,541611,Administrative Management and General Management Consulting Services
19360,2022,ActivAge,activage,ActivAge Franchising LLC,activage,621610,Home Health Care Services
16761,2017,ActivCore,activcore,"ActivCore Franchising, LLC",activcore,621310,Offices of Chiropractors
15910,2014,Active Digital Signage,active digital signage,"Active Digital Signage, LLC",active digital signage,541890,Other Services Related to Advertising
10087,2015,ActiveRx,activerx,ActiveRx Development Company,activerx development,624120,Services for the Elderly and Persons with Disabilities
16760,2016,ActivStars,activstars,"ActivStars Franchising, LLC",activstars,611620,Sports and Recreation Instruction
19404,2023,AcuSpray,acuspray,"AcuSpray Franchising, LLC",acuspray,561710,Exterminating and Pest Control Services
10088,2018,Adam & Eve,adam eve,"AEFC, Inc.",aefc,448190,Other Clothing Stores
10089,1996,ADIA PERSONNEL SERVICES,adia personnel services,"ADIA Services, Inc.",adia services,561311,Employment Placement Agencies
10090,2012,ADL CARING COMPANIONS/ FIRST STEP HOME CARE,adl caring companions first step home care,"Home Companions, Inc.",home companions,621610,Home Health Care Services
10091,2009,ADVANCE REALTY SOLUTIONS,advance realty solutions,"Advance Realty Solutions, Inc.",advance realty solutions,531210,Offices of Real Estate Agents and Brokers
15677,2014,Advanced Beverages and Bar Supplies,advanced beverages bar supplies,"Advanced Franchise, Inc.",advanced,561439,Other Business Service Centers (including Copy Shops)
19335,2023,Advanced Laser Restoration,advanced laser restoration,"Advanced Laser Restoration, LLC",advanced laser restoration,562910,Remediation Services
14457,2019,Advanced Maintenance On-Site Vehicle Services,advanced maintenance on site vehicle services,"Amos Franchise Systems, Inc.",amos,811111,General Automotive Repair
10094,2023,AdvantaClean,advantaclean,"AdvantaClean Systems, LLC",advantaclean systems,561720,Janitorial Services
10095,2002,ADVANTAGE BUSINESS SERVICES/ADVANTAGE PAYROLL,advantage business services payroll,"Advantage Business Services Holdings, Inc.",advantage business services holdings,541214,Payroll Services
18042,2023,Advantage College Planning,advantage college planning,"Advantage College Planning Franchising, Inc.",advantage college planning,611710,Educational Support Services
10096,1998,ADVANTAGE GOLF TOURNAMENT SERVICES,advantage golf tournament services,Advantage Golf Franchising Corporation,advantage golf,711320,Promoters of Performing Arts
10097,2012,ADVANTAGE PERFORMANCE GROUP,advantage performance,"Advantage Performance Group Partners, LLC",advantage performance group partners,541690,Other Scientific and Technical Consulting Services
15275,2019,AdvantagePlusCaregivers.com,advantagepluscaregiverscom,Advantage Plus Franchisor Inc.,advantage plus,561311,Employment Placement Agencies
17464,2018,ADVENT,advent,"ADVENT Americas, LLC",advent americas,561110,Office Administrative Services
10098,2023,Adventure Kids Playcare,adventure kids playcare,"AKP International, Inc.",akp international,624410,Child Day Care Services
10100,2021,Adventures in Advertising,adventures in advertising,"Adventures in Advertising Franchise, LLC",adventures in advertising,541890,Other Services Related to Advertising
10101,2019,AdviCoach,advicoach,"AdviCoach Franchising, LLC",advicoach,541613,Marketing Consulting Services
10102,2007,AEGIN PLACE,aegin place,"Aegin Place Franchising, Inc.",aegin place,621610,Home Health Care Services
17753,2019,AEON,aeon,AEON Franchise LLC,aeon,541613,Marketing Consulting Services
10103,2018,Aero Colours,aero colours,Drive N Style Franchisor SPV LLC,drive n style,424950,Paint
14255,2023,AeroWest,aerowest,"West Sanitation Services, Inc.",west sanitation services,561790,Other Services to Buildings and Dwellings
10104,2023,Aerus,aerus,"Aerus Franchising, LLC",aerus,238220,Plumbing
16852,2016,Aether Estate Sales Co.,aether estate sales,"Interstellar Industries, LLC",interstellar industries,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
13566,2023,AFC,afc,Advanced Fresh Concepts Franchise Corp.,advanced fresh concepts,722513,Limited-Service Restaurants
16929,2023,Afficient Academy,afficient academy,"Afficient Academy Of America, Inc.",afficient academy america,611691,Exam Preparation and Tutoring
16061,2023,Affordable Car Rental,affordable car rental,"Affiliated Car Rental, L.C.",affiliated car rental,532111,Passenger Car Rental
15454,2013,Affordable Event Rentals,affordable event rentals,"Affordable Event Rentals, Inc.",affordable event rentals,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
18941,2022,Affordable Remediation & Emergency Services,affordable remediation emergency services,Affordable Remediation Franchising LLC,affordable remediation,562910,Remediation Services
16591,2017,Affordable Restaurant Service and Equipment,affordable restaurant service equipment,"Affordable Restaurant Service Holdings, LLC",affordable restaurant service holdings,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
10108,2023,Affordable Suites of America,affordable suites america,LG AS Franchisor LLC,lg as,721110,Hotels (except Casino Hotels) and Motels
18188,2022,AFH Senior Care,afh senior care,AFH Senior Care C Corp.,afh senior care c,621610,Home Health Care Services
15369,2013,Afterburner,afterburner,"Afterburner Network, Inc.",afterburner network,541690,Other Scientific and Technical Consulting Services
17414,2022,Afuri Ramen + Dumpling,afuri ramen dumpling,Afuri Franchise Inc.,afuri,722511,Full-Service Restaurants
10109,2015,Age Advantage,age advantage,"Age Advantage Home Care Franchising, Inc.",age advantage home care,621610,Home Health Care Services
17978,2021,Ageless Fitness,ageless fitness,Ageless Fitness Corp.,ageless fitness,713940,Fitness and Recreational Sports Centers
10110,2008,AGELESS REMEDIES,ageless remedies,"Ageless Remedies Franchising Company, LLC",ageless remedies franchising company,812199,Other Personal Care Services
16143,2023,The Agency,agency,"The Agency Real Estate Franchising, LLC",agency real estate,531210,Offices of Real Estate Agents and Brokers
15734,2016,Agent Clean,agent clean,"Agent Clean Franchising, LLC",agent clean,561720,Janitorial Services
15613,2006,Aggressor Fleet,aggressor fleet,"Aggressor Fleet Franchising, Inc.",aggressor fleet,561520,Tour Operators
15803,2011,Aging Excellence,aging excellence,"Aging Excellence, LLC",aging excellence,621610,Home Health Care Services
10111,1998,AGWAY,agway,"Agway Consumer Products, Inc.",agway consumer products,452990,All Other General Merchandise Stores
16100,2017,Ahgassi Gopchang,ahgassi gopchang,"678 USA, Inc.",678 usa,722513,Limited-Service Restaurants
16083,2014,Ahhhsome Relaxation,ahhhsome relaxation,"Ahhhsome Relaxation International, LLC",ahhhsome relaxation,446199,All Other Health and Personal Care Stores
10112,2023,AIM Mail (Retail Center),aim mail,"Annex Brands, Inc.",annex brands,323111,Commercial Printing (except Screen and Books)
18359,2021,AIO Home Services,aio home services,"AIO Franchising, Inc.",aio franchising,561790,Other Services to Buildings and Dwellings
16587,2022,Air Fitness Studio,air fitness studio,K Squared Franchising LLC,k squared,713940,Fitness and Recreational Sports Centers
16283,2015,Air U,air u,"Air U Holdings, Inc.",air u holdings,713990,All Other Amusement and Recreation Industries
17779,2023,Aira Fitness,aira fitness,Aira Fitness Franchising LLC,aira fitness,713940,Fitness and Recreational Sports Centers
10116,2023,Aire-Master,aire master,"Aire-Master of America, Inc.",aire master america,561720,Janitorial Services
10115,2023,Aire Serv,aire serv,Aire Serv SPV LLC,aire serv,238220,Plumbing
17203,2019,AirMD,airmd,"AirMD, LLC",airmd,541620,Environmental Consulting Services
16710,2017,Airport Van Rental,airport van rental,AVR Inc.,avr inc,532111,Passenger Car Rental
16176,2018,Airtime Trampoline & Game Park,airtime trampoline game park,"Airtime International Franchise, LLC",airtime,713990,All Other Amusement and Recreation Industries
17356,2023,AKT,akt,"AKT Franchise SPV, LLC",akt franchise,713940,Fitness and Recreational Sports Centers
10118,2019,Al & Ed's Autosound,al eds autosound,"A & E Auto Sound, Inc.",a e auto sound,443142,Electronics Stores
18533,2022,Al-Hamra Kabob Grill,al hamra kabob grill,"Al-Hamra Franchising, LLC",al hamra,722513,Limited-Service Restaurants
14946,2019,Aladdin Doors,aladdin doors,"Aladdin Doors Franchising, Inc",aladdin doors,238290,Other Building Equipment Contractors
